2022/07/26 09:53:00.605  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     8.7328ms|   match|[44m GET     [0m /admin/list   r:/admin/list
2022/07/27 10:13:20.641  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:2916
2022/07/27 10:13:20.641  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:1966
2022/07/27 10:13:20.641  [C] [config.go:507]  C:/Program Files/Go/src/runtime/asm_amd64.s:1571
2022/07/27 10:13:20.736  [D] [router.go:1276]  |      127.0.0.1|[43m 404 [0m|     6.8335ms| nomatch|[44m GET     [0m /favicon.ico
2022/07/27 10:13:21.786  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:23.727  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:25.675  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:27.657  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:29.631  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:31.656  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:33.915  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:35.923  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:36.087  [C] [server.go:229]  ServeWithListener:  http: Server closed 11476
2022/07/27 10:13:40.846  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:44.323  [C] [config.go:500]  the request url is  /admin/jelly
2022/07/27 10:13:44.323  [C] [config.go:501]  Handler crashed with error interface conversion: interface {} is *errors.errorString, not string
2022/07/27 10:13:44.324  [C] [config.go:507]  C:/Program Files/Go/src/runtime/panic.go:838
2022/07/27 10:13:44.324  [C] [config.go:507]  C:/Program Files/Go/src/runtime/iface.go:262
2022/07/27 10:13:44.325  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:63
2022/07/27 10:13:44.325  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:41
2022/07/27 10:13:44.325  [C] [config.go:507]  E:/go/src/mung/admin/JellyController.go:32
2022/07/27 10:13:44.325  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:556
2022/07/27 10:13:44.326  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:339
2022/07/27 10:13:44.326  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:1204
2022/07/27 10:13:44.326  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/filter.go:83
2022/07/27 10:13:44.326  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:977
2022/07/27 10:13:44.326  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:2916
2022/07/27 10:13:44.326  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:1966
2022/07/27 10:13:44.326  [C] [config.go:507]  C:/Program Files/Go/src/runtime/asm_amd64.s:1571
2022/07/27 10:14:34.639  [C] [server.go:229]  ServeWithListener:  http: Server closed 6472
2022/07/27 10:14:40.686  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:14:40.783  [C] [config.go:500]  the request url is  /admin/jelly
2022/07/27 10:14:40.783  [C] [config.go:501]  Handler crashed with error interface conversion: interface {} is *errors.errorString, not string
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/runtime/panic.go:838
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/runtime/iface.go:262
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:63
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:41
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/src/mung/admin/JellyController.go:31
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:556
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:339
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:1204
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/filter.go:83
2022/07/27 10:14:40.783  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:977
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:2916
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:1966
2022/07/27 10:14:40.783  [C] [config.go:507]  C:/Program Files/Go/src/runtime/asm_amd64.s:1571
2022/07/27 10:15:48.647  [C] [server.go:229]  ServeWithListener:  http: Server closed 9868
2022/07/27 10:15:57.083  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:15:57.730  [C] [config.go:500]  the request url is  /admin/jelly
2022/07/27 10:15:57.730  [C] [config.go:501]  Handler crashed with error interface conversion: interface {} is *errors.errorString, not string
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/runtime/panic.go:838
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/runtime/iface.go:262
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:63
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:41
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/src/mung/admin/JellyController.go:34
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:556
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:339
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:1204
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/filter.go:83
2022/07/27 10:15:57.730  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:977
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:2916
2022/07/27 10:15:57.730  [C] [config.go:507]  C:/Program Files/Go/src/net/http/server.go:1966
2022/07/27 10:15:57.731  [C] [config.go:507]  C:/Program Files/Go/src/runtime/asm_amd64.s:1571
2022/07/27 10:16:28.169  [C] [server.go:229]  ServeWithListener:  http: Server closed 11452
2022/07/27 10:16:36.251  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:16:43.348  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.6214ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 10:17:27.571  [C] [server.go:229]  ServeWithListener:  http: Server closed 9548
2022/07/27 10:17:35.028  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:17:38.373  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.0267ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 10:34:00.714  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:34:12.599  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.5991ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 10:35:03.979  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:35:15.740  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.1519ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 11:47:12.060  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:47:14.127  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:47:16.201  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:47:18.321  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:47:20.503  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:47:22.295  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:50:05.932  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:50:52.409  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:50:54.392  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:51:12.356  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:51:14.944  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:51:17.146  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:51:19.038  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 11:55:38.544  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:22:37.400  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     9.7052ms|   match|[44m GET     [0m /admin   r:/admin
2022/07/27 14:22:37.563  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     6.1559ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/jquery.js
2022/07/27 14:22:37.620  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.1689ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniPage.js
2022/07/27 14:22:37.621  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.1373ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/element.js
2022/07/27 14:22:37.648  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     5.4034ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniTheme.js
2022/07/27 14:22:37.652  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.9544ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/layer.js
2022/07/27 14:22:37.672  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     8.0234ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echarts.js
2022/07/27 14:22:37.732  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      862.5µs|   match|[44m GET     [0m /static/js/lay-module/echarts/echartsTheme.js
2022/07/27 14:22:39.303  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.9466ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 14:50:13.104  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:51:33.770  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:52:29.566  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:52:42.609  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:52:56.403  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:53:15.644  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:54:12.233  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:54:38.159  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:54:45.916  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:54:55.822  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:56:18.708  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 14:57:17.698  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:00:35.915  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:01:44.673  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:04:04.047  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:04:46.461  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:05:10.092  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:05:49.720  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:07:12.351  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:07:30.063  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:09:03.946  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:09:17.455  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:10:10.915  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:10:29.540  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:11:24.057  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:12:43.151  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:12:55.638  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:13:53.187  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:14:20.757  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:16:25.510  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:19:02.644  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:19:52.261  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:20:02.098  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:21:01.824  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:21:28.855  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:21:39.525  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:21:50.202  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:23:01.958  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:23:53.661  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:26:08.676  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:26:22.258  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:27:18.431  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:27:51.359  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:28:54.169  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:06.351  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:09.452  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:19.435  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:38.655  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:48.805  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:29:59.774  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:30:10.208  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:30:23.229  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 15:30:32.291  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:14:10.376  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.0022ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 17:14:13.143  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     8.3519ms|   match|[44m GET     [0m /admin   r:/admin
2022/07/27 17:14:13.210  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.5403ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/jquery.js
2022/07/27 17:14:13.237  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     3.2804ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniPage.js
2022/07/27 17:14:13.239  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.0481ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/element.js
2022/07/27 17:14:13.260  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.2192ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniTheme.js
2022/07/27 17:14:13.268  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.9523ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/layer.js
2022/07/27 17:14:13.277  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.0328ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echarts.js
2022/07/27 17:14:13.333  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      625.1µs|   match|[44m GET     [0m /static/js/lay-module/echarts/echartsTheme.js
2022/07/27 17:14:29.884  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:19:02.253  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:19:04.608  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:19:06.768  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:24:27.157  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:24:29.570  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:26:01.807  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:26:23.865  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:37:02.235  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:37:49.119  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:38:51.661  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:08.934  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:11.031  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:13.200  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:17.476  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:20.895  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:22.901  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:39:30.714  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.6931ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/27 17:47:05.991  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:48:32.203  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:48:37.199  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:52:19.594  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:52:33.717  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:53:02.576  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 17:58:46.939  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 18:05:00.862  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     6.5159ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
