2022/07/26 09:53:00.605  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     8.7328ms|   match|[44m GET     [0m /admin/list   r:/admin/list
2022/07/26 10:40:31.015  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.8649ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/jquery.js
2022/07/26 10:40:31.061  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.0793ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniPage.js
2022/07/26 10:40:31.062  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      670.1µs|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/element.js
2022/07/26 10:40:31.084  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.1155ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniTheme.js
2022/07/26 10:40:31.091  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.0469ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/layer.js
2022/07/26 10:47:18.363  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 10:47:23.180  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|    17.7601ms|   match|[44m GET     [0m /admin   r:/admin
2022/07/26 10:47:23.234  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.3968ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/jquery.js
2022/07/26 10:47:23.307  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.3655ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniPage.js
2022/07/26 10:47:23.307  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      541.6µs|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/element.js
2022/07/26 10:47:23.332  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.0821ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniTheme.js
2022/07/26 10:47:23.340  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.5267ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/layer.js
2022/07/26 10:47:23.351  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.7586ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echarts.js
2022/07/26 10:47:23.415  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.8526ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echartsTheme.js
2022/07/26 10:48:56.637  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 10:58:07.918  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:04:50.646  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:09:21.380  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:09:55.257  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:12:21.171  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:12:25.043  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      556.3µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:30:27.003  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:30:31.722  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|        534µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:31:38.565  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      448.6µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:31:40.202  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      730.4µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:31:44.050  [C] [server.go:229]  ServeWithListener:  http: Server closed 6844
2022/07/26 11:31:52.300  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:31:52.497  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|        561µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:32:23.869  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:32:53.306  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:32:54.474  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      1.111ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:33:19.865  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:33:19.977  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      517.4µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 11:33:44.904  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:33:59.615  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:37:58.967  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:38:21.874  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:08.444  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:10.426  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:12.686  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:15.293  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:17.381  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:19.412  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:21.472  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:23.564  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:25.641  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:27.799  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:29.817  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:31.893  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:33.931  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:35.949  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:38.028  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:40.294  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:42.224  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:44.337  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:46.416  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:48.499  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:50.644  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:41:52.571  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 11:44:16.599  [C] [server.go:229]  ServeWithListener:  http: Server closed 13936
2022/07/26 14:26:17.882  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:19.884  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:21.930  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:24.033  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:26.051  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:27.952  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:29.980  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:32.246  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:35.084  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:37.504  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:39.580  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:41.821  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:44.113  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:46.201  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:48.190  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:50.250  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:52.383  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:54.581  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:56.581  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:26:58.695  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:00.463  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:02.398  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:04.310  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:06.224  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:08.101  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:27:40.791  [C] [server.go:229]  ServeWithListener:  http: Server closed 7432
2022/07/26 14:36:20.502  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 14:36:20.754  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.1854ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 14:36:31.193  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|           0s|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 14:40:51.809  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     10.649ms|   match|[44m GET     [0m /admin   r:/admin
2022/07/26 14:40:51.894  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     3.4294ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/jquery.js
2022/07/26 14:40:51.921  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.0754ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniPage.js
2022/07/26 14:40:51.926  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.8052ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/element.js
2022/07/26 14:40:51.947  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.3357ms|   match|[44m GET     [0m /static/js/lay-module/layuimini/miniTheme.js
2022/07/26 14:40:51.958  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     3.1341ms|   match|[44m GET     [0m /static/lib/layui-v2.5.5/lay/modules/layer.js
2022/07/26 14:40:51.971  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     4.9277ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echarts.js
2022/07/26 14:40:52.043  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     2.1258ms|   match|[44m GET     [0m /static/js/lay-module/echarts/echartsTheme.js
2022/07/26 14:58:19.676  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|           0s|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 15:24:45.282  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 15:25:26.426  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:01:35.523  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:01:37.446  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:01:39.525  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:01:46.105  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:01:46.138  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     1.1079ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 16:03:59.320  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:48:26.504  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:48:32.936  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|      544.7µs|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 16:49:47.186  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 16:49:50.534  [D] [router.go:1276]  |      127.0.0.1|[42m 200 [0m|     3.1813ms|   match|[44m GET     [0m /admin/jelly   r:/admin/jelly
2022/07/26 16:50:06.826  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:00:50.014  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:01:23.420  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:01:25.340  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:01:27.437  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:01:29.414  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:01:39.686  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:06:25.315  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/26 17:21:25.778  [C] [server.go:229]  ServeWithListener:  http: Server closed 6380
2022/07/27 10:13:17.276  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:19.602  [I] [server.go:219]  graceful http server Running on http://localhost:88
2022/07/27 10:13:20.639  [C] [config.go:500]  the request url is  /admin/jelly
2022/07/27 10:13:20.640  [C] [config.go:501]  Handler crashed with error interface conversion: interface {} is *errors.errorString, not string
2022/07/27 10:13:20.640  [C] [config.go:507]  C:/Program Files/Go/src/runtime/panic.go:838
2022/07/27 10:13:20.640  [C] [config.go:507]  C:/Program Files/Go/src/runtime/iface.go:262
2022/07/27 10:13:20.640  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:63
2022/07/27 10:13:20.640  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/core/utils/debug.go:41
2022/07/27 10:13:20.640  [C] [config.go:507]  E:/go/src/mung/admin/JellyController.go:32
2022/07/27 10:13:20.640  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:556
2022/07/27 10:13:20.640  [C] [config.go:507]  C:/Program Files/Go/src/reflect/value.go:339
2022/07/27 10:13:20.640  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:1204
2022/07/27 10:13:20.641  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/filter.go:83
2022/07/27 10:13:20.641  [C] [config.go:507]  E:/go/pkg/mod/github.com/beego/beego/v2@v2.0.4/server/web/router.go:977
